Current Loan Amount,Term-Long Term,Term-Short Term,Credit Score,Annual Income,Years in current job-< 1 year,Years in current job-1 year,Years in current job-10+ years,Years in current job-2 years,Years in current job-3 years,Years in current job-4 years,Years in current job-5 years,Years in current job-6 years,Years in current job-7 years,Years in current job-8 years,Years in current job-9 years,Years in current job-n/a,Home Ownership-HaveMortgage,Home Ownership-Home Mortgage,Home Ownership-Own Home,Home Ownership-Rent,Purpose-Business Loan,Purpose-Buy a Car,Purpose-Buy House,Purpose-Debt Consolidation,Purpose-Educational Expenses,Purpose-Home Improvements,Purpose-major_purchase,Purpose-Medical Bills,Purpose-moving,Purpose-other,Purpose-Other,Purpose-renewable_energy,Purpose-small_business,Purpose-Take a Trip,Purpose-vacation,Purpose-wedding,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Scored Labels,Scored Probabilities
611314,0,1,747,2074116,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42000.83,21.8,NA,9,0,621908,1058970,0,0,1,0.90368527173996
266662,0,1,734,1919190,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36624.4,19.4,NA,11,0,679573,904442,0,0,1,0.835612118244171
153494,0,1,709,871112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8391.73,12.5,10,10,0,38532,388036,0,0,1,0.851645946502686
176242,0,1,727,780083,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16771.87,16.5,27,16,1,156940,531322,1,0,1,0.717130482196808
321992,0,1,744,1761148,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39478.77,26,44,14,0,359765,468072,0,0,1,0.881060242652893
202928,0,1,741,760380,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6526.69,13.8,NA,6,0,258647,476872,0,0,1,0.801945865154266
621786,1,0,733,1783606,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36563.98,15.3,NA,42,0,281599,1449162,0,0,1,0.638505458831787
266794,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12336.89,5.8,NA,9,0,233206,342232,0,0,1,0.581642150878906
202466,0,1,736,1068617,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18745.21,20.5,NA,2,0,0,0,0,0,1,0.78170371055603
266288,1,0,683,2031518,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12443.1,24.4,56,8,2,31445,251130,2,0,1,0.693866014480591
